old,new
Victor Sarin,Vic Sarin
Ulrich Edel,Uli Edel
Tom De Cerchio,Tom DeCerchio
Rand Ravitch,Rand Ravich
Rakeysh Omprakesh Mehra,Rakeysh Omprakash Mehra
Monica Lisa Stambrini,Monica Stambrini
Matt Tynauer,Matt Tyrnauer
Jasmine Bizdar,Jasmin Dizdar
Hammudi al-Rahmoun,Hammudi Al-Rahmoun Font
Elliott Silverstein,Elliot Silverstein
Damien Harris,Damian Harris
Casper Wrede,Caspar Wrede
