rank,name,worldwide_box_office,movies,average
150,Chen Sicheng,1164852027,5,232970405
151,Joel Coen,1161488393,18,64527133
152,Simon West,1149827452,12,95818954
153,Mel Gibson,1146056171,7,163722310
154,Ryan Fleck,1142864626,5,228572925
155,Anna Boden,1137952901,4,284488225
156,Hayao Miyazaki,1128928433,11,102629858
157,David Ayer,1106118710,10,110611871
158,Joseph McGinty Nichol,1092275899,10,109227590
159,David Silverman,1087554741,3,362518247
160,Alan Taylor,1077442821,4,269360705
161,Josh Cooley,1073357481,2,536678741
162,Paul Verhoeven,1061431497,12,88452625
163,Robert Schwentke,1059765890,8,132470736
164,Jonathan Liebesman,1054256576,4,263564144
165,Lasse Hallström,1051158504,17,61832853
166,Mike Nichols,1047451538,18,58191752
167,Michael Mann,1041941789,13,80149368
168,Brian De Palma,1036840757,24,43201698
169,Tim Miller,1035054894,2,517527447
170,Tyler Perry,1024494330,22,46567924
171,Stephen Chow,1017854320,6,169642387
172,Betty Thomas,1016552451,7,145221779
173,Tom Hooper,1015554852,5,203110970
174,Patty Jenkins,1000758542,4,250189636
175,Frank Coraci,995262143,9,110584683
176,Chris Williams,977698281,3,325899427
177,Taika Waititi,977339005,11,88849000
178,Francis Ford Coppola,965755864,22,43897994
179,Tim Johnson,962620890,5,192524178
180,John Landis,961193817,18,53399657
181,Rawson Marshall Thurber,957752029,6,159625338
182,Danny Boyle,956896213,15,63793081
183,Rob Reiner,955432124,20,47771606
184,Andy Tennant,951602213,10,95160221
185,Gary Trousdale,950205863,3,316735288
186,Adrian Lyne,948596188,10,94859619
187,Andrew Davis,935717764,11,85065251
188,Adam McKay,927693659,9,103077073
189,Wes Ball,924764559,4,231191140
190,Muye Wen,924381411,3,308127137
191,James Foley,908907790,13,69915984
192,Xu Zheng,908303948,4,227075987
193,Baz Luhrmann,908030916,7,129718702
194,Jerry Zucker,907747053,6,151291176
195,Zhang Yimou,900646298,17,52979194
196,Paul Weitz,898537670,12,74878139
197,Wes Craven,897445429,19,47233970
198,John Glen,893563646,7,127651949
199,Kevin Lima,890853958,4,222713490
200,D.J. Caruso,889255605,14,63518258
201,Mark Waters,888778214,12,74064851
202,Michael Thurmeier,879765137,1,879765137
203,Nora Ephron,877804290,7,125400613
204,Peter Weir,875761670,12,72980139
205,Alejandro Gonzalez Inarritu,873513591,6,145585599
206,Vicky Jenson,870117319,4,217529330
207,David O. Russell,870098944,10,87009894
208,Brian Levant,866581230,9,96286803
209,Guo Fan,861062430,2,430531215
210,Seth MacFarlane,860009327,3,286669776
211,Andres Muschietti,849815613,3,283271871
212,Chuck Russell,845744729,8,105718091
213,Wu Jing,835474171,1,835474171
214,John Badham,825101546,14,58935825
215,Nicholas Stoller,822847268,7,117549610
216,David F. Sandberg,817855908,6,136309318
217,David Frankel,811996231,9,90221803
218,Espen Sandberg,810083467,4,202520867
219,Len Wiseman,803270454,5,160654091
220,Darren Aronofsky,800792510,7,114398930
221,Kevin Reynolds,799985692,8,99998212
222,Tsui Hark,798394583,9,88710509
223,Robert Luketic,792420941,8,99052618
224,Frank Oz,779040361,13,59926182
225,Brenda Chapman,774510570,4,193627643
226,Brad Silberling,770469822,8,96308728
227,Tim Hill,767414672,8,95926834
228,Robert Stromberg,758536735,1,758536735
229,Cameron Crowe,757465846,9,84162872
230,Roger Donaldson,755985566,18,41999198
231,Alex Proyas,752287053,6,125381176
232,Dan Scanlon,743588329,1,743588329
233,Yang Yu,742514069,1,742514069
234,Jaume Collet-Serra,741510488,6,123585081
235,John G. Avildsen,741398623,15,49426575
236,Lee Tamahori,736483955,10,73648396
237,Mark Osborne,733939450,3,244646483
238,Joe Wright,733558165,9,81506463
239,Seth Gordon,732745505,5,146549101
240,Jonathan Mostow,730584420,7,104369203
241,Irvin Kershner,727925718,3,242641906
242,Will Gluck,726390247,7,103770035
243,Raman Hui,720979406,2,360489703
244,John Stevenson,719438182,3,239812727
245,William Friedkin,719294744,18,39960819
246,Phyllida Lloyd,719262285,3,239754095
247,Steve Carr,716323487,9,79591499
248,Joseph Kosinski,712534573,5,142506915
249,Curtis Hanson,711185778,11,64653253
250,Timur Bekmambetov,710560448,8,88820056
251,Chris Wedge,710553582,3,236851194
252,Michael Patrick King,709928036,2,354964018
253,Jonathan Demme,706658605,23,30724287
254,David Slade,706102828,2,353051414
255,David Zucker,704691359,10,70469136
256,Sean Anders,701873398,6,116978900
257,Judd Apatow,701247844,8,87655981
258,Don Hall,699828859,2,349914430
259,John Singleton,686271634,9,76252404
260,Yibai Zhang,686124617,4,171531154
261,Peter Ramsey,682232905,2,341116453
262,Denis Villeneuve,680689906,7,97241415
263,Alan J. Pakula,676146327,12,56345527
264,Keenen Ivory Wayans,673822088,6,112303681
265,Anne Fletcher,673312063,6,112218677
266,Roger Spottiswoode,672418446,13,51724496
267,Stephen Herek,661713517,14,47265251
268,Kaige Chen,656869994,7,93838571
269,Donald Petrie,650245188,13,50018861
270,John Madden,638720547,12,53226712
271,James Bobin,634631452,5,126926290
272,Taylor Hackford,632738278,15,42182552
